id,sales
0,61.225983
1,57.409576
2,57.74066
3,63.71884
4,61.83067
5,63.20841
6,62.203117
7,62.936646
8,62.401413
9,62.791954
10,62.50699
11,62.71492
12,62.563198
13,62.673904
14,62.593124
15,62.65207
16,62.60906
17,62.64044
18,62.617542
19,62.63425
20,62.62206
21,62.630955
22,62.624466
23,62.6292
24,62.625744
25,62.628265
26,62.626427
27,62.62777
28,62.62679
29,62.627502
30,62.626984
31,62.627365
32,62.627087
33,62.62729
34,62.62714
35,62.627247
36,62.62717
37,62.627228
38,62.627186
39,62.627216
40,62.627193
41,62.62721
42,62.627197
43,62.627205
44,62.6272
45,62.627205
46,62.6272
47,62.627205
48,62.6272
49,62.627205
50,62.6272
51,62.627205
52,62.6272
53,62.6272
54,62.6272
55,62.6272
56,62.6272
57,62.6272
58,62.6272
59,62.6272
60,62.6272
61,62.6272
62,62.6272
63,62.6272
64,62.6272
65,62.6272
66,62.6272
67,62.6272
68,62.6272
69,62.6272
70,62.6272
71,62.6272
72,62.6272
73,62.6272
74,62.6272
75,62.6272
76,62.6272
77,62.6272
78,62.6272
79,62.6272
80,62.6272
81,62.6272
82,62.6272
83,62.6272
84,62.6272
85,62.6272
86,62.6272
87,62.6272
88,62.6272
89,62.6272
90,69.38157
91,64.725815
92,71.3844
93,72.55447
94,68.244736
95,72.557915
96,69.425735
97,71.25368
98,70.418976
99,70.650055
100,70.7101
101,70.556656
102,70.703285
103,70.59942
104,70.658676
105,70.6325
106,70.639015
107,70.6417
108,70.636284
109,70.64125
110,70.63782
111,70.63973
112,70.638916
113,70.63909
114,70.639206
115,70.639015
116,70.63918
117,70.63907
118,70.63913
119,70.63911
120,70.63911
121,70.639114
122,70.63911
123,70.639114
124,70.63911
125,70.63911
126,70.63911
127,70.63911
128,70.63911
129,70.63911
130,70.63911
131,70.63911
132,70.63911
133,70.63911
134,70.63911
135,70.63911
136,70.63911
137,70.63911
138,70.63911
139,70.63911
140,70.63911
141,70.63911
142,70.63911
143,70.63911
144,70.63911
145,70.63911
146,70.63911
147,70.63911
148,70.63911
149,70.63911
150,70.63911
151,70.63911
152,70.63911
153,70.63911
154,70.63911
155,70.63911
156,70.63911
157,70.63911
158,70.63911
159,70.63911
160,70.63911
161,70.63911
162,70.63911
163,70.63911
164,70.63911
165,70.63911
166,70.63911
167,70.63911
168,70.63911
169,70.63911
170,70.63911
171,70.63911
172,70.63911
173,70.63911
174,70.63911
175,70.63911
176,70.63911
177,70.63911
178,70.63911
179,70.63911
180,82.07369
181,74.181175
182,70.457405
183,67.41088
184,85.41225
185,85.427635
186,91.94159
187,84.002914
188,79.45949
189,76.18502
190,76.64168
191,81.23795
192,83.57168
193,85.14611
194,83.075195
195,80.91451
196,79.34467
197,79.49563
198,80.9593
199,82.23646
200,82.83341
201,82.25548
202,81.339096
203,80.6397
204,80.61435
205,81.12041
206,81.6863
207,81.9632
208,81.80469
209,81.438965
210,81.13357
211,81.08238
212,81.25791
213,81.49313
214,81.624916
215,81.58737
216,81.44685
217,81.3157
218,81.27846
219,81.3373
220,81.43214
221,81.49342
222,81.488556
223,81.43619
224,81.38085
225,81.3594
226,81.37794
227,81.41533
228,81.44301
229,81.44515
230,81.42624
231,81.40331
232,81.39222
233,81.39745
234,81.411896
235,81.424065
236,81.42657
237,81.41998
238,81.41066
239,81.40528
240,81.40645
241,81.4119
242,81.41713
243,81.418785
244,81.4166
245,81.41288
246,81.410385
247,81.41046
248,81.41247
249,81.414665
250,81.41558
251,81.41491
252,81.41345
253,81.41233
254,81.4122
255,81.41292
256,81.413826
257,81.41429
258,81.41411
259,81.41355
260,81.41306
261,81.41294
262,81.41319
263,81.41356
264,81.41378
265,81.41374
266,81.413536
267,81.41332
268,81.41325
269,81.41333
270,57.490154
